RET_M1,CUSTOMER_ID,MES_BGI,MES_CLIENTE,YEAR_BGI,YEAR_CLIENTE,MES_COSECHA,YEAR_COSECHA,CLTE_COSECHA,ORD_ORDENES_TOTALES,ORD_ORDENES_COMPLETADAS,ORD_ORDENES_COMPLETADAS_A_TIEMPO,ORD_ORDENES_COMPLETADAS_CON_RETRASO,ORD_ORDENES_CANCELADAS,ORD_ORDENES_OTROS,MNT_TOTAL_GMV,MNT_TOTAL_DESCUENTO,MNT_TOTAL_COSTO_ENVIO,MNT_TOTAL_COSTO_SERVICIO,MNT_TOTAL_PROPINA,MNT_PROM_GMV,MNT_PROM_DESCUENTO,MNT_PROM_COSTO_ENVIO,MNT_PROM_PROM_SERVICIO,MNT_PROM_PROPINA,MDP_TOT_ORDENES_CASH,MDP_TOT_ORDENES_TDC,MDP_TOT_ORDENES_PAGO_DIGITAL,MDP_TOT_ORDENES_PAGO_DIGITAL_RAPPI,MDP_TOT_TARJETA_DEBITO,MDP_TOT_TDC_NACIONAL,MDP_TOT_TDC_INTERNACIONAL,EXP_TIEMPO_ESPERA_EFECTIVO_M,EXP_TIEMPO_ESPERA_PROMETIDO_M,EXP_KPI_TIEMPO_ESPERA,EXP_ORDEN_CON_RECLAMO,EXP_ORDEN_SIN_RECLAMO,EXP_ORDENES_WEB,EXP_ORDENES_ANDROID,EXP_ORDENES_IOS
0,1010171289,10,9,2021,2021,9,2021,1,5,5,5,0,0,0,279641,30600,30600,13431,11000,55928.2,6120,6120,2686.2,2200,0,5,0,0,0,0,5,80,103,0.8259541985,3,2,2,3,0
0,1010299807,11,10,2021,2021,10,2021,1,1,1,1,0,0,0,118500,7500,7500,119547,2000,118500,7500,7500,119547,2000,0,1,0,0,0,0,1,31,41,0.756097561,0,1,0,0,1
1,1010309159,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,109072.9,7500,7500,8401,30000,109072.9,7500,7500,8401,30000,1,0,0,0,0,0,0,36,65,0.5538461538,0,1,0,1,0
0,1010432996,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,33634.56,0,5200,3853,2000,33634.56,0,5200,3853,2000,1,0,0,0,0,0,0,27,76,0.3552631579,0,1,0,0,1
0,1010635708,10,9,2021,2021,9,2021,1,1,1,1,0,0,0,33622,8500,8500,3772,2000,33622,8500,8500,3772,2000,0,1,0,0,0,0,1,27,80,0.3375,0,1,0,0,1
0,1010810852,2,1,2022,2022,1,2022,1,3,0,0,0,3,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,95,158,0.6012658228,2,1,0,3,0
0,1010931297,9,8,2021,2021,8,2021,1,3,3,0,0,0,0,48456.66,7800,20256.66,7980,6000,16152.22,2600,6752.22,2660,2000,3,0,0,0,0,0,0,NULL,32,NULL,2,1,0,3,0
0,1011080412,9,8,2021,2021,8,2021,1,1,1,1,0,0,0,22083.5,0,5700,8910,3000,22083.5,0,5700,8910,3000,1,0,0,0,0,0,0,29,130,0.2230769231,0,1,0,1,0
1,1011320715,9,8,2021,2021,8,2021,1,2,2,2,0,0,0,495168,135000,15000,11368,10000,247584,67500,7500,5684,5000,0,2,0,0,0,0,2,93,133,0.6992481203,1,1,0,2,0
0,1011395679,1,12,2022,2021,12,2021,1,1,1,1,0,0,0,60270,49770,8500,4023,2000,60270,49770,8500,4023,2000,1,0,0,0,0,0,0,94,148,0.6351351351,0,1,0,1,0
